graphName,vertices,edges,primCost,kruskalCost,primTimeMs,kruskalTimeMs,primOps,kruskalOps
small-1,20,76,235.77,235.77,0,1,348,218
small-2,29,162,301.65,301.65,0,0,738,434
small-3,27,140,327.96,327.96,0,0,652,430
small-4,28,151,313.07,313.07,0,0,696,439
small-5,15,42,286.86,286.86,0,0,200,159
medium-1,118,2070,535.03,535.03,1,4,8770,2270
medium-2,117,2035,445.90,445.90,0,2,8500,1717
medium-3,273,11138,680.61,680.61,3,8,46286,7661
medium-4,131,2554,491.76,491.76,0,1,10678,2164
medium-5,190,5386,605.69,605.69,0,2,22652,4941
medium-6,146,3175,556.12,556.12,0,1,13510,3615
medium-7,206,6334,618.18,618.18,4,4,26634,5709
medium-8,235,8248,603.48,603.48,1,4,34564,6904
medium-9,112,1864,628.36,628.36,0,1,7946,2259
medium-10,172,4411,597.27,597.27,0,2,18686,4622
large-1,487,17751,1282.29,1282.29,4,11,75150,17853
large-2,343,8797,1209.11,1209.11,2,5,36752,7157
large-3,898,60412,1664.90,1664.90,20,25,247082,24133
large-4,732,40131,1524.00,1524.00,5,17,166098,24264
large-5,726,39476,1501.18,1501.18,6,15,162214,19190
large-6,816,49878,1602.85,1602.85,10,20,206716,30992
large-7,987,72988,1769.11,1769.11,13,27,301194,39572
large-8,452,15288,1288.10,1288.10,2,5,65100,17007
large-9,479,17172,1298.52,1298.52,2,5,71780,13636
large-10,816,49878,1575.47,1575.47,15,21,206930,31825
extra-1,2320,134502,4689.43,4689.43,48,63,558686,88967
extra-2,2121,112413,4610.92,4610.92,24,52,463278,60133
extra-3,1511,57040,3929.91,3929.91,8,18,241252,56403
extra-4,2000,99950,4365.54,4365.54,15,35,415910,69776
extra-5,2298,131962,4693.26,4693.26,27,52,554628,113259
